@relation HW_05B_v200

@attribute Attr1 Real
@attribute Attr2 Real
@attribute Attr3 Real
@attribute Attr4 Real
@attribute Class {Grizzley,Black}

@data
5.57,7.87,8.32,6.51,Grizzley
5.24,9.56,1.82,5.65,Black
1.59,3.15,7.49,6.27,Black
8.48,9.11,2.13,6.05,Black
2.75,4.66,4.23,2.22,Grizzley
8.68,9.53,2.25,8.98,Black
8.61,5.39,5.83,4.01,Grizzley
6.40,1.52,9.61,6.70,Black
3.87,0.79,9.20,7.21,Black
4.56,1.20,9.43,6.87,Black
9.60,5.61,6.21,7.44,Grizzley
1.23,7.46,6.80,6.21,Grizzley
8.44,0.92,5.81,1.26,Grizzley
0.65,8.84,1.77,4.65,Black
6.81,9.31,0.64,2.99,Black
5.56,8.93,0.32,3.55,Black
8.16,9.41,2.33,3.75,Black
1.46,2.36,1.26,4.89,Grizzley
5.26,8.68,2.60,2.71,Black
4.60,6.79,4.52,6.88,Grizzley
3.48,8.66,2.54,1.53,Black
3.07,6.23,8.62,6.96,Grizzley
4.36,5.32,9.22,8.21,Grizzley
3.32,3.30,4.57,3.96,Grizzley
0.90,2.61,0.89,1.44,Grizzley
5.72,8.01,1.83,1.55,Black
5.27,1.48,0.23,3.37,Grizzley
3.77,9.10,0.66,1.75,Black
2.81,7.81,6.57,5.45,Grizzley
7.99,8.31,0.61,2.47,Black
3.11,6.88,5.92,1.60,Grizzley
7.00,7.23,4.94,2.57,Grizzley
7.05,4.20,9.43,7.88,Black
7.02,5.14,9.41,8.49,Grizzley
0.74,7.59,7.64,6.02,Grizzley
5.02,1.44,6.35,2.22,Grizzley
4.80,6.48,9.27,1.66,Grizzley
9.52,8.08,0.31,7.38,Black
3.64,8.30,1.07,9.24,Black
0.46,6.98,9.68,5.11,Grizzley
2.63,9.48,0.74,9.18,Black
1.27,8.74,0.18,3.54,Black
7.19,6.23,6.96,6.47,Grizzley
1.08,9.10,0.90,1.56,Black
8.21,3.13,1.53,3.39,Grizzley
9.17,5.06,9.85,8.25,Grizzley
0.98,8.97,2.39,5.94,Black
6.66,7.43,8.89,8.12,Grizzley
4.19,4.09,6.18,8.34,Black
0.30,9.52,0.56,1.95,Black
5.30,4.38,9.68,6.67,Black
6.91,4.88,2.71,2.03,Grizzley
6.88,5.87,8.58,5.01,Grizzley
5.77,6.68,6.81,5.82,Grizzley
2.48,7.60,4.76,5.41,Grizzley
3.63,8.69,1.61,6.70,Black
9.60,2.09,6.25,0.22,Grizzley
6.09,4.77,1.61,1.46,Grizzley
3.69,7.53,4.83,3.99,Grizzley
7.58,1.20,3.81,0.50,Grizzley
5.94,2.79,4.43,1.38,Grizzley
8.60,0.79,8.83,9.42,Black
9.26,8.62,1.11,0.91,Black
5.17,3.42,4.39,0.95,Grizzley
